Gene	number_of_undetected_samples	chi^2	pvalue	BH-corrected P-value	Bonferroni-corrected P-value
XPNPEP3	0	31.427781486810225	0.049790407937774055	0.17489838295988092	1.0
DIRC2	10	18.318719746314883	0.049819457229172186	0.1749331422045481	1.0
KIFC1	10	18.3138032186029	0.04989537072564251	0.17513236773147314	1.0
AMT	0	31.40545653532525	0.05006026310187378	0.17564363538586755	1.0
MCOLN1	10	18.282849007013954	0.050375738778379094	0.1766826506386084	1.0
CXorf57	0	31.373458407884346	0.05044929252439612	0.17687270196748936	1.0
SLC25A18	0	31.36970064403615	0.050495153367550984	0.17696555476049236	1.0
SLC38A10	0	31.351543013340173	0.05071727245967183	0.17767581487310427	1.0
ALKBH7	0	31.350889204565252	0.05072528642026729	0.17763575186974737	1.0
GRB14	0	31.324204142559957	0.051053327957228174	0.1787160000894461	1.0
SLC17A5	0	31.32226563434041	0.05107723082950693	0.17873116826279187	1.0
HSPA12B	0	31.31464831100434	0.05117125210243094	0.17899159151723545	1.0
UTP6	0	31.30108833155103	0.05133900128884265	0.17950960902411944	1.0
ELOVL5	0	31.285506021453134	0.05153236625379318	0.18011676272326563	1.0
ALKBH4	0	31.283804702822806	0.05155351713420565	0.18012175668963282	1.0
NABP2	10	18.202643314910738	0.05164004015355888	0.18035506184415037	1.0
ZKSCAN1	0	31.23878111400386	0.05211603633331269	0.1819479204251318	1.0
CDK2AP1;CDK2AP2	0	31.234127783359323	0.05217448123466072	0.1820823603806482	1.0
DAAM1	0	31.232398430271708	0.05219621625313146	0.18208863370506095	1.0
FAM214A	0	31.229177779370865	0.05223671556960934	0.1821603372650791	1.0
AMFR	0	31.22364923959022	0.0523063007710674	0.18233337593212157	1.0
TOMM20	0	31.22185440879586	0.05232890900845964	0.18234258907831435	1.0
METTL5	0	31.211721338502585	0.05245670954970283	0.18271820301961708	1.0
BOP1	0	31.210273516253118	0.052474992198235745	0.18271220119957568	1.0
PTRH1	0	31.195076997337363	0.05266722739750151	0.18331165694412396	1.0
UBAC2	0	31.171446811621273	0.0529673779158853	0.18428611904982112	1.0
TMCC3	0	31.16962667907941	0.05299055946745152	0.18429656497190966	1.0
LMCD1	0	31.162840595589305	0.05307706691368916	0.18452716106689115	1.0
APRT	0	31.143919158209663	0.053318928788285806	0.18529747968927485	1.0
COL21A1	0	31.14258210491305	0.05333605614131426	0.18528649704778363	1.0
ROR1	0	31.130132084300556	0.05349577027059544	0.18577067295868752	1.0
PADI2	10	18.082241307123937	0.05359209280867536	0.18603442935067732	1.0
C19orf80	0	31.11922130080681	0.05363608362105082	0.1861163950269974	1.0
SLC25A13	0	31.109333125273803	0.053763525228191514	0.18648776145426246	1.0
DDR1	0	31.09809030024614	0.053908748869657866	0.18692050243985772	1.0
