Gene	ConditionA_rep1	ConditionA_rep2	ConditionA_rep3	ConditionB_rep1	ConditionB_rep2	ConditionB_rep3	ConditionC_rep1	ConditionC_rep2	ConditionC_rep3	ConditionD_rep1	ConditionD_rep2	ConditionD_rep3
EPX	5.9294075269941535	6.204528051403793	5.4794515678170885	-4.249435516577361	-5.081344282591443	-4.367052447900203	2.6643906893109532	2.6977929148330135	2.5757531412456736	-4.344362699727721	-3.8209766836453496	-3.6881522611625153
PHGDH	4.476834185859203	5.218920363933044	3.889828659200115	-4.372765320456962	-5.511210352928873	-4.159419787040262	3.982698964766605	4.341755995403369	3.2828534844876764	-4.0867678301688795	-4.049466006407538	-3.013262356647496
HLA-DRB3	9.129018620824993		9.377476370189568	0.3072679572729893		-1.135904092249791	-2.3255993440999583		-2.442146793549112	-7.110687233998005		-5.7994254843906345
SGSM1	6.295547480586502	6.455926032105129	7.102489809198228	0.1469698164989606	-0.1869891835572898	0.1349799056415984	-0.7163800262367899	-0.2747787898688608	-1.4110165253548297	-5.7261372708486835	-5.994158058678978	-5.826453189484965
HLA-A	6.102410302639012	6.983755878221578	6.679046092270003	-0.7559573728839455	-0.8818863446490379	-0.3651503293161562	-0.9228694242549464	-0.9989195533734304	-1.2058630593949364	-4.423583505500132	-5.10294998019912	-5.1080327035589095
CD74	3.8524058474070735	4.389200406416352	4.638507474356177	-3.1414796256955126	-3.6467005815208196	-4.317270909610777	3.833700556883913	4.489872431822803	5.207584820041661	-4.5446267785954735	-5.232372256718334	-5.528821384787072
HBB	-4.709763614317593	-5.7430748648809375	-5.1365697264838275	18.357377034256466	19.14930597289828	19.167063186500474	-8.410084804343699	-9.482443069947172	-8.016838361022906	-5.237528615595154	-3.9237880380701666	-6.013655098993786
INS	-8.651880390924957	-5.628815955282768	-9.770639439908145	15.339679392128627	12.207224880793536	16.15470268064277	-3.498967688068072	-3.4602852129114825	-3.250925357807148	-3.1888313131355965	-3.118123712599305	-3.1331378829274983
HBD	-3.1017165030045715	-2.2591518772606225	-2.8167146783137245	11.276964147738314	8.617873281048576	10.822545935185358	-6.979660301233183	-5.510820610369799	-7.1940857403244864	-1.19558734350052	-0.8479007934181642	-0.8117455165471266
CA1	-3.402367557927591	-1.691636861223606	-2.7555900246628435	9.644162162304694	7.705367227828237	9.775801248320484	-3.7271722632007878	-4.0637230054071125	-4.873800435662384	-2.514622341176314	-1.9500073611975064	-2.146410787995257
SEC14L2	-3.6119150338589434	-3.0168731329421448	-4.142017222322344	6.9410262193746695	7.0977304377551445	8.500834201543544	-3.7736713604030494	-3.4963703965432833	-5.1314472713069526	0.4445601748873525	-0.5844869082697168	0.7726302920857326
CD36	-2.3148891696329628	-1.4350942046299182	-2.677943159240415	8.77198235539638	6.49777421710622	10.02690757327828	-3.0866087646045046	-3.0105447396843257	-3.5516680382315804	-3.370484421158912	-2.0521352727919866	-3.797296375806283
AKR1C2	-2.6946509327177752		0.40599776770203705	2.721238587417388		10.595346854058317	-0.1196164113742498		-7.960254069469562	0.0930287566746342		-3.041090552290792
S100A9	-12.198107191394493	-10.106280268614098	-10.237242439769425	-9.370792912192034	-8.766082269844897	-8.561759629396349	8.411880396459077	6.8915040070105205	7.082717188331808	13.157019707127454	11.9808585314485	11.716284880833964
S100A8	-11.519530003230262	-11.267411727085301	-10.42275547840694	-7.988789147994928	-7.897610012205559	-7.907282307083901	7.50347117922797	7.176147868025862	6.763341885701213	12.004847971997187	11.988873871264962	11.566695899789671
