Gene	ConditionA_rep1	ConditionA_rep2	ConditionA_rep3	ConditionB_rep1	ConditionB_rep2	ConditionB_rep3	ConditionC_rep1	ConditionC_rep2	ConditionC_rep3	ConditionD_rep1	ConditionD_rep2	ConditionD_rep3
HLA-A	6.102410302639013	6.983755878221578	6.679046092270003	-0.7559573728839455	-0.8818863446490379	-0.3651503293161562	-0.9228694242549464	-0.9989195533734304	-1.2058630593949364	-4.423583505500132	-5.10294998019912	-5.1080327035589095
CD74	3.8524058474070735	4.389200406416352	4.638507474356177	-3.1414796256955126	-3.64670058152082	-4.317270909610777	3.833700556883913	4.489872431822803	5.207584820041661	-4.544626778595474	-5.232372256718334	-5.528821384787072
GSTM3	-8.874777351309264	-11.225495840919288	-9.531277107213867	8.70229253667962	9.566433939753002	8.44843375627846	-7.543521328376145	-7.430829923799419	-6.267929878797168	7.716006143005759	9.089891824965692	7.350773229732566
BLVRB	-4.714893613558476	-4.761708395699604	-5.288108413734877	5.610542668455341	5.892137136412939	5.905865904908572	-5.419797082634323	-5.68521477227807	-5.059879374093137	4.524148027737478	4.554786031564723	4.442121882919486
MUC16	-8.990914826896697	-4.004277267798788	-1.6143063271419256	7.535527600105603	5.083312466803418	1.4006806170500603	-4.158176590125481	-3.756536868550589	-0.994927137915407	5.613563816916576	2.6775016695459755	1.2085528480072445
ACCSL	-6.155912469637131	-5.78005058172178		4.386738448251071	5.758670861523931		-2.1965871222482294	-5.982065256252229		3.965761143634269	6.003444976450075	
HBZ	-5.110214943570837	-4.285816039312869	-5.245473029184631	-5.230471040848027	-2.163254438236041	-3.7937340443511256	-4.704790736594456	-4.23100484750759	-4.858613260535779	15.04547672101333	10.680075325056515	13.897820334071548
AHSP	-8.57007138589323	-5.300846406644703	-8.198021327259921	6.316179920952692	4.244207575466387	6.0157586455831975	-7.673888739807263	-6.976531650270722	-7.318797633020602	9.927780204747782	8.03317048144906	9.501060314697291
PRDX2	-3.713858156296611	-4.012546525491151	-3.5868905573315515	2.216538793655087	2.4756156844258776	2.0294883738513687	-6.524310428292983	-7.119740197640755	-6.193467085173975	8.021629790934487	8.65667103870598	7.750869268654134
PNMT	-3.411382571411817	-4.913378971972918	-5.129350454517527	0.915638912659618	0.3782282598800379	-0.4459172127628362	-4.782659052574101	-4.625863562370432	-4.086250718874156	7.278402711326327	9.161014274463303	9.66151838615452
HBE1	-2.921303669980799	-3.0073009301351004	-6.130776167702818	-3.0432738417316414	-1.2437111722187617	-0.97505341715626	-1.428336471966962	-2.927315391790068	-4.296518148057241	7.39291398367941	7.178327494143913	11.402347732916304
OAT	-3.476237996603098	-4.448237602892535	-3.610059857295941	2.8536780419381005	3.552653498119421	2.9777677789253705	-5.237764298434769	-5.509582063629183	-5.418377964129698	5.860324253099787	6.405166168402274	6.050670042500246
FKBP5	-4.443492122559243	-4.226328355353594	-4.6783249539818925	4.455590521941419	4.286729651108572	4.637316754091178	-5.088310050220222	-5.213220675517973	-4.844808884586401	5.076211650838087	5.152819379762984	4.885817084477072
CA2	-5.225572910863896	-4.609676626484431	-3.909294493730573	3.227215910023198	2.8950947862429293	2.9804176954938675	-4.528818274547695	-4.657164940531902	-4.371572557062434	6.527175275388424	6.371746780773403	5.300449355299139
