Gene	Chi^2-statistic of rep3	pvalue of rep3	BH-corrected P-value of rep3	Chi^2-statistic of rep2	pvalue of rep2	BH-corrected P-value of rep2	Chi^2-statistic of rep1	pvalue of rep1	BH-corrected P-value of rep1	Average Chi^2-statistic	Number of detected	combined_pvalue	BH-corrected combined pvalue
FASTKD3	0.0669810938317853	0.995481055353317	1.0				4.516737923836009	0.2108021530141496	0.6696457474475213	2.291859508833897	2	0.5981986966081798	0.9878089076095135
PFDN4	2.414106588609632	0.491014087888607	0.9261937978902152	3.3723764514313985	0.3376955577031496	0.8222795807010317	1.5871565877536191	0.662305470975066	0.9936545032826865	2.45787987593155	3	0.5982790264800638	0.9878036146504824
OBSL1	0.3796401230837571	0.9444154994723968	1.0	4.6066211441613865	0.2029748216792516	0.6476375436096915	2.3845160416848032	0.4965234649704049	0.936438815082038	2.4569257696433158	3	0.5985756295678244	0.9881553566437977
VWA3A							1.8754078042686697	0.5986643980749864	0.9774033810854964	1.8754078042686697	1	0.5986643980749864	0.988163945733768
TXNRD2	3.0499509898021797	0.3839876520081834	0.8570003741746887	2.909357859109777	0.4058125738980661	0.868722592287122	1.4099437272673785	0.7032055305488246	1.0	2.4564175253931118	3	0.5987336362201162	0.9881402998329203
PEX1	3.158650350375916	0.3678052836127504	0.8420527839730304	2.122352304259127	0.54740399276369	0.9453019487940711	2.088037346084986	0.5543366783244881	0.9637823340815932	2.456346666906676	3	0.5987556656993671	0.988038758986187
TPK1	2.7688809144273505	0.4286483251753427	0.8861319839976682				1.810596117379496	0.6126318210108503	0.9813741385939634	2.2897385159034234	2	0.5987618177071776	0.9879110498656866
C1orf213							1.8739351187804136	0.5989794650753315	0.9774448911061664	1.8739351187804136	1	0.5989794650753315	0.9881322788107973
PAN2	3.470415142070169	0.3246194973158311	0.799704969235403	2.552743291739697	0.4658345505388314	0.9035389953687962	1.3428853024962344	0.7189755947722241	1.0	2.455347912102033	3	0.5990661850342425	0.9881374861249711
GVINP1	2.1582179140434663	0.5402249555507388	0.9549551758518592	1.3207676625664615	0.7242075963760006	0.9952173985566376	3.8826175464347608	0.2744214695146008	0.7537284203379866	2.4538677076815625	3	0.5995264326393469	0.9887587260753524
CCDC58	3.4262556877487174	0.330453208944264	0.8041587226795949	1.0197278374652357	0.7964785510803446	1.0	2.914899637497732	0.4049329362464108	0.874848708185801	2.4536277209038952	3	0.5996010577119351	0.9887439000758097
TRIM41	0.2690212748633909	0.9657454028019272	1.0	1.7638873171420308	0.6228248099132103	0.972171684933644	5.32699540688051	0.1493602602738432	0.5642251026165629	2.4533013329619773	3	0.5997025517660354	0.9887733790620982
SPATA32							1.8688264423543028	0.6000732560344322	0.9779687128288138	1.8688264423543028	1	0.6000732560344322	0.9892466544830838
NES	1.4929545426260482	0.6838973703498502	1.0	4.677433532025094	0.1969992208157577	0.6375787589948414	1.1857040303005577	0.7564350782277575	1.0	2.4520307016505667	3	0.6000976921538104	0.9891490395482029
C10orf32	0.5671238565464016	0.9039156071483476	1.0	6.495877581991094	0.0898252238143284	0.4172023730759329	0.2906337217187802	0.9617802909520003	1.0	2.4512117200854253	3	0.6003523980403467	0.9894309556553448
EVPL	5.431214381150552	0.1428111357449706	0.5276582541513598	1.1687275219704314	0.7605140947421328	1.0	0.7521232100088806	0.860880825914795	1.0	2.450688371043288	3	0.6005151691530741	0.9895612981096853
HTATSF1	2.3479847337052777	0.5033906816380338	0.934102933142146	0.230901404639838	0.972453017077662	1.0	4.771250781378912	0.1893343163685929	0.6351294297268506	2.450045639908009	3	0.6007150786469307	0.9897527943430341
PLXNA2							1.863987475450092	0.6011104995549106	0.9787138464930708	1.863987475450092	1	0.6011104995549106	0.9902663217103397
BNIP2	1.346666374730919	0.7180826274658973	1.0				3.214037339329546	0.3597873553388036	0.842583202741163	2.2803518570302326	2	0.6012557664505123	0.9903676609941925
TP53I3	4.930824028453839	0.1769331974524541	0.5964963070232524	0.6646242596831528	0.8814914168861099	1.0	1.7492125026481975	0.6260487169901277	0.984026891912444	2.448220263595063	3	0.6012828777007877	0.9902743772718405
RELB	0.7630438583871703	0.8582844668448977	1.0				3.797143941383956	0.2842185131096378	0.7681335362311728	2.280093899885563	2	0.6013243443137242	0.990204758600444
GPR183	1.7150580846936008	0.6335912441866083	0.9926262825590196				2.8451141307196703	0.4161270725747038	0.8830162403576403	2.2800861077066354	2	0.6013264158969944	0.9900702962937843
RAD54L	3.1581680154155287	0.3678757777767391	0.8418121616523566				1.4017361034349478	0.7051278293840233	1.0	2.2799520594252383	2	0.6013620535021671	0.9899911294254665
NCBP2	1.5029666652768527	0.681585794989656	1.0	3.1650262121944266	0.366874530754161	0.8430531744865888	2.674386326566216	0.4445976335388203	0.904018164681064	2.4474597346791653	3	0.6015194683775181	0.9901124322889967
CDKN1C							1.859931303547533	0.6019808459788254	0.97832154822853	1.859931303547533	1	0.6019808459788252	0.9907339601530422
R3HDM1	2.2695461688750416	0.5183801442535143	0.9425808501996388				2.2853084192640063	0.5153412652016123	0.9427746600833254	2.2774272940695237	2	0.6020333880559006	0.9906825513165911
AFAP1L2	1.85933792625632	0.6021082374261733	0.9826406434795149							1.85933792625632	1	0.6021082374261733	0.9906678596861693
PIGQ	2.629164057634364	0.4523996355410072	0.9032919003680088	0.5726165951880416	0.9026715495907568	1.0	4.134477590063915	0.2473043413803378	0.7223627097906925	2.44541941429544	3	0.6021542475274777	0.9906057285771319
CD81	2.597635788141196	0.4579041745165914	0.9063553313924604	1.7172533456311054	0.633104818980796	0.9739141180873164	3.020188554978717	0.3885229598125608	0.863725613777419	2.445025896250339	3	0.602276688125577	0.9906693332987825
EMG1	1.508557196446974	0.6802967468454816	1.0	1.5846914069518545	0.6628659004774666	0.9844907239520452	4.2415962032896175	0.2365301729976706	0.7091002284360135	2.4449482688961486	3	0.6023008417656923	0.9905712731403772
GYS2				1.857443959478492	0.6025149676923072	0.9625056745164244				1.857443959478492	1	0.6025149676923072	0.990785633842516
CILP2	0.4673611071022575	0.9260012411261308	1.0	2.0090821419099085	0.5705238134955988	0.9509168819494216	4.856162631392724	0.1826377418009903	0.6255157300383037	2.4442019601349636	3	0.6025330612066495	0.9906776207965282
SNAP23	2.61379780872318	0.4550757459500963	0.9058057405375802	1.6074917655613274	0.6576923076592547	0.983680113297482	3.111180344284788	0.3747989787514377	0.8546092029008008	2.4441566395230985	3	0.6025471634277455	0.9905630762592925
ARID4A	4.830036213878876	0.1846742568551782	0.608891600662809	1.4487631449485725	0.6941452283536813	0.9892698807556805	1.050915939548112	0.7889343854734294	1.0	2.4432384327918535	3	0.602832887230472	0.990895036349782
PRAMEF10	2.998451224375538	0.3918640286518408	0.8627307248481859				1.550076903767037	0.6707617533453185	0.9971062316816688	2.2742640640712875	2	0.6028747814686204	0.990826169682618
PPP1R12A	1.6254721230818492	0.6536280772889966	0.9971338114633094	2.910901711280811	0.4055673598730154	0.8687123028459639	2.7920683150118597	0.424807278585571	0.8900556474338412	2.4428140497915067	3	0.6029649509813615	0.9908366516612841
POLR3G	1.854600783785923	0.6031258748535486	0.9829629250545342							1.854600783785923	1	0.6031258748535486	0.9909633833740743
ABCG5				1.8544882236581	0.6031500686515883	0.9628817199348416				1.8544882236581	1	0.6031500686515883	0.9908654573221772
JAG2				1.8542843011677117	0.6031939015745467	0.9627390297436502				1.8542843011677117	1	0.6031939015745467	0.9907998174911813
COA5	1.8533561281463653	0.603393437393211	0.9832318622919966							1.8533561281463653	1	0.6033934373932113	0.990989916274267
CD2	1.8529974984067117	0.6034705459479976	0.982856394521726							1.8529974984067117	1	0.6034705459479976	0.990978920404815
HSPB11	3.6791656115759226	0.298257498515495	0.7724724191697908	1.872504592901847	0.5992856160413738	0.961811491701312	1.7710542781854557	0.6212540141505429	0.984592304204774	2.4409081608877417	3	0.6035580908293992	0.9909850630460489
NSD1	2.448886327536658	0.484599326561	0.9217096494875756	1.5210887420757715	0.6774116826505758	0.9866292282377492	3.3520560986032875	0.3404628735960515	0.8271768975969344	2.4406770560719058	3	0.6036300190545414	0.9909655664750732
CALD1	0.1991993039445264	0.9777184538941928	1.0				4.343395413973476	0.226691686654545	0.6948309523737857	2.2712973589590013	2	0.6036641926496633	0.9908841030097542
TUBD1							1.852070754345681	0.6036698335632038	0.978474767049932	1.852070754345681	1	0.6036698335632038	0.9907558337106017
FADS6							1.8514621818387973	0.6038007244837769	0.978530260072636	1.8514621818387973	1	0.6038007244837771	0.9908331344741416
C9orf106				1.8509856352548424	0.6039032322423372	0.9636583482921992				1.8509856352548424	1	0.6039032322423374	0.9908638436611129
CACNA1C	0.2302895732261917	0.9725574636090312	1.0				4.308899337969103	0.2299826425137779	0.6979449259021248	2.2695944555976473	2	0.604117445117411	0.9910778008481388
SAMM50	3.036675745586603	0.3860049915814668	0.857510625413138	1.9219823314073516	0.5887563868530523	0.9565967643406046	2.358068664785966	0.5014878511886656	0.937938851918354	2.43890891392664	3	0.6041803653334927	0.9910435317059997
EFR3B	2.0120611094563725	0.5699071538607536	0.9681555264381478	2.526115504297826	0.4705899096081843	0.9071627838725922				2.2690883068770993	2	0.6042521816515176	0.9910238624173643
TLK2	0.791295014519852	0.8515479982620046	1.0				3.746803652572458	0.2901346876614147	0.7735906183524263	2.269049333546155	2	0.604262556668069	0.9909034437109855
UEVLD	2.3925838015424383	0.4950166387779487	0.928083600430773				2.143584131921186	0.5431458408263814	0.956980245827756	2.2680839667318122	2	0.6045195604249896	0.9911874378848449
SAMD4B	2.0381002333584304	0.5645366354753907	0.966567368024651				2.4939800069146827	0.4763800133773906	0.9248075274079968	2.2660401201365565	2	0.6050637779811987	0.9919422119267537
SRRM5	2.6100446878798533	0.45573130401722	0.9057943082332308	1.9218724695779577	0.5887796294231389	0.956419505920662				2.2659585787289056	2	0.6050854928273588	0.9918403039483668
CCT4	2.6827314922694203	0.4431698775501737	0.8981426307231167	1.8641971852137973	0.6010655236489684	0.9623173547654176	2.7605512687333107	0.4300351175316673	0.8937950174277561	2.4358266487388427	3	0.605139891843756	0.9917919918298566
C17orf85	1.0740866369457949	0.783333065451444	1.0	3.769578719426572	0.2874445206314813	0.7668370434122241	2.4634017538843467	0.4819415290173706	0.9300754936660046	2.435689036752238	3	0.6051827356232342	0.9917247573094158
AIRE							1.844421666865596	0.6053163191808801	0.9787929109387048	1.844421666865596	1	0.6053163191808801	0.991806217862534
TRIAP1	0.6081033372982343	0.8945748196627656	1.0				3.918527299939794	0.2703971673522689	0.7479510716596641	2.2633153186190142	2	0.6057895172189243	0.9924440345128539
ATAD5	0.9227638730436034	0.8199311761371368	1.0	1.6253149280176986	0.6536635487040672	0.9847876728130692	4.750150653583188	0.1910335717146908	0.6370302635176317	2.4327431515481632	3	0.606099988678559	0.9928151220562349
TFAP4	4.4757378990883545	0.2144646477988419	0.6597006875506245	1.7782145153237563	0.6196871373401516	0.9704179721684236	1.0437900767499992	0.7906576971466197	1.0	2.4325808303873697	3	0.6061505350782826	0.9927603985181014
HES2							1.8400106316399223	0.6062671181382864	0.9793917829953744	1.8400106316399223	1	0.6062671181382864	0.9928138307693167
HDHD1	2.199243474666344	0.5320973984823891	0.9516414580580388	1.8076216104193736	0.6132777940483805	0.9666649111423437	3.288253124176118	0.3492809403802213	0.8337939732160716	2.431706069753945	3	0.606422941956017	0.9929314993948908
MTPAP	3.6047250527408665	0.3074314709915985	0.7824934812496539	1.6582272676829122	0.6462604051029766	0.983061239250518	2.031456474358525	0.5659035329469242	0.9690810838218302	2.4314695982607675	3	0.6064965834015028	0.99291459209785
DHX57	1.2835254605690898	0.7330487870012812	1.0	1.1531585680640954	0.764259318506841	1.0	4.857425064967145	0.1825398707940137	0.6253920987880187	2.4313696978667765	3	0.606527694484963	0.9928280713295525
SPEG	1.838557906396357	0.6065804629219238	0.9840767307098824							1.838557906396357	1	0.6065804629219238	0.9927770206299998
