snps	gene	statistic	pvalue	FDR	beta
CTNNB1	PCMTD1	3.25179678111394	0.0014071965797937901	0.023417529700546103	0.691291024448599
CTNNB1	SDS	-3.2513555184789102	0.00140924151010935	0.023417529700546103	-1.79635444589896
CTNNB1	SPAST	-3.25113524685081	0.0014102633432024	0.023417529700546103	-0.315321576522678
CTNNB1	NUP205	3.2477103951509303	0.00142624011697061	0.023602823969016397	0.310759472774557
CTNNB1	MRPL20	3.2461558228066303	0.00143354757525675	0.023679984208992037	0.492854647937845
CTNNB1	SNED1	3.24568200629637	0.00143578172756327	0.023679984208992037	1.1770726452796798
CTNNB1	MAN2C1	3.24483161798844	0.00143979963061902	0.023695820023772216	0.5533055673848161
CTNNB1	ECI2	3.24341605040722	0.0014465111000630901	0.023762594273146507	1.04693684890301
CTNNB1	RAB11FIP5	-3.2403743343674805	0.0014610310519463801	0.023957163018454103	-0.589064781173892
CTNNB1	ADCK5	3.2395590837372796	0.00146494571907288	0.023977438798646243	0.8904908927228449
CTNNB1	NUP214	3.2369371007807497	0.0014776022147467301	0.024140461001145027	0.304967116997584
CTNNB1	C5	-3.23633986304683	0.0014804993135257099	0.024143734706731656	-0.799444779594752
CTNNB1	SLC35C1	-3.2363378016782303	0.00148050932201975	0.024143734706731656	-1.06314250494429
CTNNB1	FZD8	3.23588418591874	0.00148271327909611	0.024143734706731656	0.588846579471578
CTNNB1	COX14	3.2357722375734	0.0014832576655510901	0.024143734706731656	0.7074467545824971
CTNNB1	UBXN1	-3.23435922023031	0.00149014494201039	0.024143734706731656	-0.315717913560716
CTNNB1	CEP57	-3.2341557274277597	0.0014911392462089801	0.024143734706731656	-0.35450604088344795
CTNNB1	LURAP1L	-3.2340732268077304	0.00149154253559823	0.024143734706731656	-0.435636675556157
CTNNB1	PAK2	-3.2339430807317995	0.0014921789374876	0.024143734706731656	-0.413049081006017
CTNNB1	MYRIP	3.2243103139629	0.00153998967795899	0.02475319135864782	0.728787293339246
CTNNB1	RGN	3.2241626236550296	0.00154073368176016	0.02475319135864782	1.08408176960043
CTNNB1	ZDHHC14	-3.2219641744334604	0.00155184816777385	0.024854555717494235	-0.5399702166396331
CTNNB1	43350	-3.21837924082223	0.00157013218784525	0.025102488353175932	-0.481147549335251
CTNNB1	ANXA4	-3.2161176766733397	0.00158176951699391	0.025243462541259313	-0.7989348281456541
CTNNB1	GABARAP	-3.2148028625021703	0.00158857196013916	0.025306912382786297	-0.7132444175781891
CTNNB1	HSPBP1	-3.21149721493265	0.00160579466813171	0.02553584309730586	-0.5845429698865771
CTNNB1	SMAD3	3.21141657309932	0.00160621697929444	0.02553584309730586	0.402786244156919
CTNNB1	HPCAL1;HPCA	-3.21125398419783	0.00160706875084192	0.02553584309730586	-0.499562271634129
CTNNB1	ADSS	-3.2107511286156405	0.0016097057708029901	0.02553584309730586	-0.613837732663444
CTNNB1	COA3	3.2049058198944502	0.0016406555768656	0.025906154108779042	0.692758041742208
CTNNB1	MRPS33	3.2034556463408195	0.00164841911032938	0.025982916011934754	0.6108553893173969
CTNNB1	UGT1A1	3.20316753347465	0.00164996558677014	0.025982916011934754	1.45131065260376
CTNNB1	ETV6	-3.2024780909411095	0.0016536717164921302	0.025982916011934754	-0.420589762811935
CTNNB1	ASUN	-3.19915078971352	0.00167166674800777	0.02621091487725668	-0.31056804949970696
CTNNB1	REL	-3.19859995074156	0.00167466333949996	0.02621199454290759	-0.39684642909982504
CTNNB1	LMTK2	-3.19611958145908	0.0016882185915443099	0.026378047207846783	-0.48489589325734006
CTNNB1	RPUSD3	3.1949773937865196	0.00169449486905902	0.026429987043005934	0.528583785559518
CTNNB1	CXorf57	3.1926281449931904	0.00170747208128791	0.026586082684818536	0.605535662167041
CTNNB1	STARD10	3.1912159684250896	0.00171531727362263	0.026661867275596194	0.885721912210846
CTNNB1	IGFBP4	-3.19115121854837	0.00171567778575669	0.026661867275596194	-0.49235191430585495
CTNNB1	MRPL52	3.1898239140478597	0.00172308342728653	0.02668990644376523	1.0088542616115699
CTNNB1	MIER1	-3.1869160270568995	0.0017394117262855401	0.02689629220282287	-0.35466809506982105
CTNNB1	MRPL43	3.1805877880372404	0.00177544360297928	0.027406114788747403	0.543078872286447
CTNNB1	MRPS28	3.18036188417467	0.00177674257637442	0.027406114788747403	0.587963306752713
CTNNB1	HMGN1	-3.17906165889252	0.00178423618746151	0.02744719344732457	-0.7839470846278609
CTNNB1	TMEM230	3.1768665762734902	0.00179695374028281	0.0275954148143259	0.620530409588968
CTNNB1	AIMP2	3.17564834052196	0.0018040480257842698	0.02765692118980577	0.372493952374752
CTNNB1	AVL9	3.17517832626569	0.00180679205256245	0.02765692118980577	0.4973456775191721
CTNNB1	ZYX	-3.17516754237107	0.0018068550562821899	0.02765692118980577	-0.60906875825122
CTNNB1	ENTPD8	-3.1743367164489706	0.00181171519890963	0.02765692118980577	-0.8108276070256559
CTNNB1	GGCX	-3.17417226034803	0.00181267866674985	0.02765692118980577	-0.8306171336664291
CTNNB1	PARP10	3.17342146939951	0.00181708322624127	0.02765692118980577	0.5497532591478279
CTNNB1	UPP1	-3.17254972839693	0.00182220980452483	0.02765692118980577	-0.734375916535327
CTNNB1	YTHDF3	3.1724096130687798	0.0018230350525395601	0.02765692118980577	0.52941273936875
CTNNB1	NADK2	3.16710850339079	0.0018545133345215302	0.02804638156076226	1.0479875613309
CTNNB1	BYSL	3.1665743793115597	0.0018577127968718399	0.02804739067519997	0.537844246531628
CTNNB1	LGALSL	-3.1615041608684	0.0018883399708586397	0.02846179757423805	-0.5525317411184929
CTNNB1	SH3BP5	3.1593902588595197	0.00190124699280554	0.02860817533880336	0.355736133433669
CTNNB1	C2	-3.1587926042326804	0.0019049109472265	0.028615214279394053	-0.684042670864336
CTNNB1	TFRC	-3.1501429336333198	0.00195867656389261	0.029373586727856844	-1.1299012061072902
CTNNB1	RALGAPA1	3.14988962445207	0.00196027210862136	0.029373586727856844	0.437076741711118
CTNNB1	CMC1	3.1497140819141	0.00196137852318542	0.029373586727856844	1.13123712689745
CTNNB1	SH3BGRL2	3.1490227412422502	0.00196574155619301	0.029373586727856844	0.682229824990343
CTNNB1	MRPL2	3.14826602166814	0.00197052750467486	0.029373586727856844	0.546345095618302
CTNNB1	PPP1R18	-3.1471111218609202	0.00197785260656852	0.02941480795117601	-0.7069512457897149
CTNNB1	PREX1	-3.1437503319839704	0.00199931267224142	0.029684653987690605	-0.641497839720273
CTNNB1	NUP160	3.1429103337908	0.00200471001721333	0.02971551123197176	0.349648668296758
CTNNB1	GPHN	3.13731199670111	0.00204102796666165	0.030203840306647526	0.728193422173668
CTNNB1	MRPL32	3.13534943711728	0.00205390325617807	0.030344217578485575	0.6206253146344319
CTNNB1	STK26	-3.13492455829363	0.00205670054455492	0.030344217578485575	-0.881852008476371
CTNNB1	PLSCR4	-3.1348399351607	0.00205725810184697	0.030344217578485575	-0.6528363735742622
CTNNB1	STX2	-3.13456325557452	0.00205908204080542	0.030344217578485575	-0.5087545343527671
CTNNB1	ACSF2	3.1328888783810496	0.002070151939691	0.03038372182959594	1.0722635663473001
CTNNB1	UBE3B	3.13227726988771	0.00207420922545901	0.030393445491873186	0.480378824146775
CTNNB1	BRCC3	3.1320006333837496	0.00207604679338596	0.030393445491873186	0.317163706870982
CTNNB1	ARHGEF28	3.13198419171713	0.00207615605520202	0.030393445491873186	0.6889181514265831
CTNNB1	NR2C2	3.13155309651605	0.00207902276601717	0.030393445491873186	0.33654914862591306
CTNNB1	XPNPEP3	3.13145215436625	0.00207969454387645	0.030393445491873186	0.7194478452390691
CTNNB1	UTP14A	3.13095339535398	0.00208301677555743	0.030393445491873186	0.437648635792959
CTNNB1	ACAA1	3.12793236654046	0.00210324510900666	0.030519211443981568	1.1285305528772198
CTNNB1	LAMA5	3.12735315052474	0.00210714416925337	0.030526313506999067	0.8886857631764
CTNNB1	IDNK	3.1264164769159706	0.00211346366320071	0.030568400931560512	0.8121944675973609
CTNNB1	CDIP1	3.1251235334045497	0.00212221565118522	0.03064547858880851	0.529689957925803
CTNNB1	SULT2A1	3.12475905036881	0.00212468890813197	0.03064547858880851	1.20976031938629
CTNNB1	PTK2	3.12412065162628	0.0021290272948266	0.03064547858880851	0.5530228637636511
CTNNB1	COX7A2L	3.1232583241412204	0.00213490046320072	0.03068019879139012	0.845665341930171
CTNNB1	STXBP2	-3.12257394793199	0.00213957230732304	0.030698062287601247	-0.5802359465954251
CTNNB1	CYP2C9	3.1219640179755497	0.00214374392401538	0.030708702962735514	1.34235000168375
CTNNB1	SNTB1	3.1216475675737594	0.0021459112524666603	0.030708702962735514	0.563784441295358
CTNNB1	ANK3	-3.12078079341403	0.0021518580695975803	0.030726611319150138	-0.9804559361925809
CTNNB1	FMO5	3.12034473433506	0.0021548555748973	0.030726611319150138	1.05255558903845
CTNNB1	NUP43	3.1191674270500203	0.0021629677959252303	0.03078704400146039	0.265801275852936
CTNNB1	TRIM5	3.11910616473903	0.0021633906958774397	0.03078704400146039	0.5759310252231171
CTNNB1	MRPL49	3.11821586567165	0.00216954516506842	0.03078704400146039	0.4948001357285561
CTNNB1	MRPL37	3.1179453918821203	0.0021714181062963303	0.03078704400146039	0.5001664413983999
CTNNB1	CFL1	-3.11794237537411	0.00217143900304902	0.03078704400146039	-0.390879629548372
CTNNB1	PPP1R13B	-3.11564909922352	0.00218737956321835	0.030888973548097616	-0.38286569003036497
CTNNB1	NUDCD3	3.1155974379982903	0.0021877399045044	0.030888973548097616	0.48554354389072796
CTNNB1	AUTS2	-3.11534240788153	0.00218951956565245	0.030888973548097616	-0.6765939034974
CTNNB1	ARSF	-3.1151126790275403	0.00219112381545896	0.030888973548097616	-1.22380707518925
CTNNB1	GNAI1	3.1129616786112497	0.00220619761375152	0.03095938438231561	0.803772606246402
CTNNB1	MRPS35	3.1107157470887	0.00222203903396605	0.031132888061186297	0.638981522889049
CTNNB1	AFTPH	-3.10979588050401	0.00222855753611308	0.031175430657531884	-0.26857290025736
CTNNB1	AP3S2	-3.10976607098732	0.0022287690726332603	0.031175430657531884	-0.743777714402283
CTNNB1	LGALS3	-3.1084762198559703	0.00223794002388083	0.03120915425826335	-1.4282189261473
CTNNB1	MRPL35	3.10669185651315	0.00225068456355516	0.03133806982505342	0.49108701647896796
CTNNB1	MRPS10	3.1057157792129804	0.00225768442153936	0.03138672146900915	0.6749752707065191
CTNNB1	XDH	-3.1044047349922996	0.0022671181607642897	0.0314690060361592	-1.2289185518933798
