snps	gene	statistic	pvalue	FDR	beta
TP53	CCDC115	3.13553580377814	0.0020526773802892	0.039519534969316705	0.424439291337613
TP53	MACF1	3.13542423343202	0.0020534111822353	0.039519534969316705	0.280993291868333
TP53	RWDD4	-3.13076557570967	0.0020842691148535	0.03987278073778502	-0.405930048294245
TP53	TDP2	3.12879425572545	0.0020974555670922	0.04003948761658095	0.366289275713292
TP53	MGAT1	-3.12760145270884	0.0021054718752031	0.04010699935892203	-0.454634982123403
TP53	PHF10	3.12656402237743	0.0021124670491768	0.04015481420653905	0.377874324948528
TP53	ABLIM1	-3.12479676000367	0.0021244328997618	0.04029671133806652	-0.510993014056601
TP53	SUN2	-3.12264780786981	0.0021390676526362	0.04048852578023657	-0.469492031656078
TP53	ASF1A	3.1206756635862	0.0021525803872	0.04065833798861097	0.413335561883782
TP53	CCDC134	3.11913003899156	0.0021632258803879	0.040773392225500776	0.523560951849052
TP53	RPS15	-3.11804713819029	0.002170713371352	0.04082856473469423	-0.230108650463641
TP53	ELMOD2	-3.1154615526585	0.0021886879782157	0.04108034270223304	-0.507669112500417
TP53	NUDT9	-3.11510965117461	0.0021911449669187	0.04108034270223304	-0.51864539109794
TP53	MT-ND4	-3.113565967674	0.0022019532080782	0.04115675797896477	-0.613517344942096
TP53	CNOT6L	-3.11133080827528	0.0022176903378868	0.04136454498979276	-0.281235842815202
TP53	RBBP4	3.11021172877465	0.0022256084989973	0.04142593116740713	0.309720905646114
TP53	HAUS5	3.10972840466833	0.0022290363897491	0.04142593116740713	0.274859578575841
TP53	CRP	-3.10336059024394	0.0022746574697872	0.04216357831678013	-1.83422263838844
TP53	DNAJC11	3.10332910150718	0.0022748851958951	0.04216357831678013	0.465583281896701
TP53	KIF11	3.10303271312288	0.0022770297062098	0.04216357831678013	0.622639836155849
TP53	RAB20	-3.10011615168482	0.0022982323665961	0.04233760160110058	-0.476552672900039
TP53	MGST2	-3.10001829586077	0.002298946909308	0.04233760160110058	-0.514815028212422
TP53	SPPL2B	-3.09949835934684	0.0023027469301529	0.04233760160110058	-0.407894723124005
TP53	PLIN5	-3.09593711746849	0.0023289312633497	0.042639921473966995	-0.648527758384703
TP53	KCMF1	3.09511498624578	0.0023350150386369	0.04266406049166564	0.294938305184539
TP53	GPKOW	3.09329503461272	0.0023485349947114	0.04282369410926917	0.286878890009167
TP53	C2orf69	3.09122157309508	0.0023640263905077	0.043018553402876906	0.443813859931072
TP53	SLC9A7	3.09102101290178	0.0023655298300914	0.043018553402876906	0.349263056806484
TP53	EZH2	3.09062714775831	0.0023684848951106	0.043018553402876906	0.407275305956682
TP53	NDUFA10	-3.09042602517557	0.0023699951799947	0.043018553402876906	-0.476851828441132
TP53	UBA1	3.08940889531149	0.0023776467331071	0.043018553402876906	0.309093261429639
TP53	LZTS2	-3.0887103223838	0.0023829151012227	0.043018553402876906	-0.272676108065454
TP53	OSBP	-3.08638068052949	0.0024005624557102	0.04315709973087032	-0.298981789865432
TP53	ATP6AP2	3.08398299182193	0.0024188513457819	0.04339874969696463	0.389392441624673
TP53	RPL9	-3.08159188744824	0.0024372181721913	0.04364082859125742	-0.248736265977679
TP53	NUP43	3.07990698889577	0.0024502377137961	0.04378638373576144	0.205069276713839
TP53	TRAPPC12	-3.07959940851107	0.0024526213727881	0.04378638373576144	-0.212833415888267
TP53	PLA2G2A	-3.07745196291352	0.0024693232445041	0.04395199007563659	-1.75993313417458
TP53	TPRG1L	3.07481571161808	0.0024899704893942	0.04423155911021086	0.618536257931743
TP53	ZSWIM8	-3.0716344191485	0.0025150988297977	0.044589464996393685	-0.253232998468107
TP53	PTBP2	3.06901025775009	0.0025360025718559	0.0448712075609207	0.876355106339441
TP53	NFATC2IP	3.06889106101418	0.0025369558768234	0.0448712075609207	0.45379491683261
TP53	PPA2	-3.06556784577677	0.0025636677016762	0.04518211994706106	-0.511384674365226
TP53	PDE7A	3.06448020120015	0.0025724663793279	0.045248116884327484	0.585032359837228
TP53	ERCC2	3.0644163322572	0.0025729839232143	0.045248116884327484	0.24922307470295
TP53	TMEM160	3.06414411246121	0.0025751908574571	0.045248116884327484	0.537335994048041
TP53	DNAJB9	-3.06395401092774	0.0025767330806239	0.045248116884327484	-1.37177648182446
TP53	COPA	-3.0629371532689	0.0025849969588628	0.045248116884327484	-0.235616213987547
TP53	TMEM101	3.06240859144302	0.0025893021747258	0.045248116884327484	0.496240802294988
TP53	PITPNA	-3.06059037385307	0.0026041624317406	0.04527197330363804	-0.332735012781451
TP53	L1RE1	3.05994022754166	0.0026094951454162	0.04527676363742488	1.13174604056352
TP53	EFHD2	3.05937459274336	0.0026141428659239	0.04527676363742488	0.456968093449496
TP53	CCDC97	3.05919729250337	0.0026156012826447	0.04527676363742488	0.438074709488065
TP53	GNB1L	3.05710418660693	0.0026328753826883	0.045418368595777164	0.372539503577375
TP53	RAP1GDS1	-3.0565759905323	0.0026372511153903	0.045418368595777164	-0.439862610702275
TP53	RPL31	-3.05537750448888	0.0026472046325605	0.04549025542286786	-0.25538752738473
TP53	IL6ST	-3.05341076249303	0.0026636137305848	0.04568454737533662	-0.443948804764459
TP53	SMARCE1	3.05306113568498	0.0026665405757786	0.04568454737533662	0.322808526953271
TP53	BIN1	3.05254567517316	0.002670861084831	0.04568454737533662	0.485252940592659
TP53	CTSS	-3.05172236314162	0.0026777753575318	0.04568454737533662	-0.796081351024544
TP53	ARID1A	3.05072163857962	0.0026862017991788	0.045721605908836116	0.34350326491268
TP53	TM4SF5	-3.04919028035841	0.0026991437326559	0.045854713165973955	-1.12684013001379
TP53	ARF1;ARF3	-3.04730697826591	0.0027151389154704	0.04603908846630018	-0.215763314942204
TP53	GINS4	3.04158644574501	0.0027642620533534	0.0467834369823686	0.439229707541412
TP53	PPID	-3.04098842275387	0.0027694444206046	0.0467834369823686	-0.52067806741246
TP53	SHPK	-3.0405569018242	0.0027731894727374	0.0467834369823686	-0.469749084373939
TP53	43351	-3.0402750809732	0.0027756378393871	0.0467834369823686	-0.492068628944089
TP53	CDK1	3.03901957578888	0.0027865694955385	0.04680704820554632	0.751955820972649
TP53	RAB6A	-3.03824269394044	0.0027933536587355	0.04683313727838751	-0.287197969070584
TP53	SEC23IP	-3.03394239837106	0.0028311824957385	0.047378648381956615	-0.320221220551002
TP53	AMDHD1	-3.02941162155011	0.0028715493435115	0.047964517299362804	-0.824836008080954
TP53	LRWD1	3.02940979866322	0.0028715656907057	0.047964517299362804	0.347802909132311
TP53	DLG1	-3.02886074973483	0.0028764933299464	0.047964517299362804	-0.327239680105839
