Gene	ConditionA_rep2	ConditionB_rep2	ConditionC_rep2	ConditionD_rep2	A-value	Observed Variance	M-value of ConditionA_rep2	z-score of ConditionA_rep2	M-value of ConditionB_rep2	z-score of ConditionB_rep2	M-value of ConditionC_rep2	z-score of ConditionC_rep2	M-value of ConditionD_rep2	z-score of ConditionD_rep2	Estimated Variance	z-transformed of ConditionA_rep2	z-transformed of ConditionB_rep2	z-transformed of ConditionC_rep2	z-transformed of ConditionD_rep2	Chi^2-statistic of rep2	pvalue of rep2	BH-corrected P-value of rep2
PUF60	14.234827622666698	14.054229464686262	14.041141555381524	14.132921255987663	14.115779974680535	0.007941841643965853	0.11904764798616263	1.3358577301049335	-0.06155050999427303	-0.6906707184782657	-0.07463841929901172	-0.8375327952299176	0.017141281307127443	0.19234578360330945	0.02507690770124727	0.7517679884325918	-0.38868221143498033	-0.4713303898513673	0.10824461285378949	0.9500982025272809	0.8133241613232868	1.0
STON2	7.412687902291962	7.670621441209804	7.68387712470436	7.8769207047211225	7.661026793231812	0.036298860229871936	-0.2483388909398503	-1.303461604834025	0.009594647977992032	0.05035963237123478	0.022850331472547225	0.11993501951899227	0.21589391148931014	1.1331669529437933	0.11469520371608086	-0.7332838307638357	0.02833064204122812	0.06747142396021755	0.6374817647623874	0.9494431951939412	0.8134825505069998	1.0
CSDE1	14.158986482300945	14.144233588719485	14.076900707910763	13.963319533038025	14.085860077992304	0.007950464410558968	0.07312640430864015	0.8201210713835497	0.058373510727181	0.6546656657141066	-0.008959370081541351	-0.10048037038964938	-0.1225405449542798	-1.3743063667080069	0.025130025444704395	0.4612939461583857	0.3682301539237397	-0.05651724871585503	-0.7730068513662703	0.9491193426826818	0.8135608611844832	1.0
GRAMD4	7.598360455623258	7.814336823102452	7.507312344703085	7.3491311503262855	7.56728519343877	0.03772936958370425	0.031075262184487862	0.15998343864319675	0.247051629663682	1.2718853022495527	-0.059972848735684536	-0.3087556432831182	-0.21815404311248443	-1.1231130976096266	0.11925635065946197	0.08998581279791056	0.7153967540596374	-0.17366564784707242	-0.631716919010473	0.949115985230194	0.8135616730454982	1.0
IPO9	11.867460972207281	11.80078379328239	11.959631651009603	12.030313735906688	11.914547538101491	0.010197908037986243	-0.0470865658942099	-0.46627429282887717	-0.11376374481910112	-1.1265444539801113	0.04508411290811232	0.4464450202479575	0.11576619780519692	1.1463737265610132	0.0322414958080552	-0.2622342578881627	-0.6335724559790787	0.25108220713243307	0.6447245067347984	0.9488928273084404	0.8136156343946573	1.0
CBX1	7.242641815681551	6.750980783169261	6.843320428745237	7.055684870555053	6.973156974537776	0.048550907287226996	0.26948484114377447	1.2230259319974328	-0.22217619136851496	-1.0083210705389813	-0.12983654579253923	-0.5892482180121174	0.08252789601727706	0.37454335655365384	0.1538406714047146	0.6870664740193986	-0.5664504606891175	-0.3310254385290084	0.21040942519872058	0.9467764313021407	0.8141273793442592	1.0
G6PD	14.490464644685899	14.539615900922124	14.691860697545962	14.610011316498754	14.582988139913185	0.007675078054149569	-0.09252349522728665	-1.0561135876475423	-0.04337223899106135	-0.49507436800385274	0.10887255763277714	1.2427306940303107	0.027023176585569075	0.3084572616210639	0.024344559134065143	-0.5929950573823313	-0.27797829390387657	0.6977783146022981	0.17319503668389835	0.9458061670227449	0.8143619793281773	1.0
POLR3F	6.198416769041258	6.432397435489696	6.561179573569526	6.784382218049544	6.4940939990375055	0.059999738233111666	-0.29567722999624735	-1.20709986990993	-0.061696563547809724	-0.2518757153988356	0.06708557453202069	0.2738763086067292	0.29028821901203816	1.1850992767020436	0.19046345523007474	-0.6775042932277128	-0.14136931234633118	0.15371750053146996	0.665156105042578	0.9450590638603126	0.8145426167978869	1.0
TTI1	9.089656130139522	8.815406331418199	8.900931519329049	9.120901853421804	8.981723958577144	0.021736270471666957	0.10793217156237844	0.7320797605008539	-0.1663176271589446	-1.1280952369907766	-0.08079243924809454	-0.5479970310876366	0.1391778948446607	0.9440125075775594	0.06905648967121206	0.41072266181637546	-0.6329013633736242	-0.30744573394816954	0.5296244355054183	0.9442821626970826	0.8147304547812213	1.0
RPS7	15.725853967414622	15.628462414953766	15.562638721333558	15.744792605795682	15.665436927374406	0.007294042719627595	0.06041704004021575	0.7074166758427057	-0.03697451242063998	-0.43293062106490715	-0.10279820604084833	-1.2036532268314477	0.07935567842127611	0.9291671720536908	0.023190181009676646	0.3967412663339486	-0.24280095267958499	-0.6750461527800243	0.5211058391256841	0.9435945389883743	0.8148967038075732	1.0
